id,car_model,car_year,car_vin,color,price
1,Vibe,2009,WA1LMBFE4FD902145,Indigo,"€25252,66"
2,4000CS Quattro,1987,WVGFF9BPXBD994686,Teal,"€36733,84"
3,A4,1999,2C4RDGCG9ER928142,Fuscia,"€15085,55"
4,300M,1999,SCBZK22E02C258206,Pink,"€15000,75"
5,Accord,2000,SCFAD02E79G367470,Teal,"€21272,77"
6,Cube,2012,WP0AB2A83CS821651,Mauv,"€19933,07"
7,Eurovan,1992,1FTEW1CF0FF111368,Goldenrod,"€15163,21"
8,Alero,2003,WAUBH74F67N480547,Red,"€37270,30"
9,Tahoe,2009,JN8AS5MT5CW491431,Red,"€16903,97"
10,Roadrunner,1969,5N1BA0NE7FN276922,Pink,"€16832,36"
11,Fortwo,2011,WBA1F5C54FV880958,Violet,"€30646,70"
12,911,1997,4A31K2DF1BE359899,Goldenrod,"€35082,48"
13,Element,2003,WAUWGAFB9BN470504,Pink,"€22103,43"
14,98,1993,WVGEF9BP1DD901794,Indigo,"€37280,15"
15,SL-Class,1986,WAUEH48H48K995489,Blue,"€10879,65"
16,3 Series,2011,2G61M5S39E9636493,Blue,"€22837,48"
17,Rally Wagon 2500,1994,JH4CL96898C490338,Goldenrod,"€13985,12"
18,Previa,1997,WAUGL78E55A796788,Blue,"€10071,64"
19,LaCrosse,2011,WVWAN7AN6DE781625,Maroon,"€29088,57"
20,Defender,1995,WDBSK7AA6CF148849,Teal,"€24244,13"
21,V40,2004,JTDKN3DUXB0314198,Green,"€23880,15"
22,C70,2009,5UXKU6C53F0572534,Turquoise,"€22775,06"
23,HHR,2006,3GYFNDE30FS282237,Fuscia,"€30409,37"
24,Sierra 1500,2011,1GTPCTEX2AZ010507,Aquamarine,"€30446,78"
25,Esteem,2002,1HGCR2F34DA313604,Red,"€28846,36"
26,100,1990,19UUA8F58CA875844,Khaki,"€24743,58"
27,57,2009,SCBCU7ZA6AC970492,Crimson,"€12753,11"
28,Firefly,1995,1D4PU7GX7BW080169,Orange,"€37784,70"
29,Type-1h,2010,WAUPEAFM2DA506099,Crimson,"€14991,96"
30,Quest,1997,1FTMF1EW2AF174800,Red,"€38266,58"
31,Escalade,2003,1G6DL1ED9B0457292,Indigo,"€38279,47"
32,Yukon XL 1500,2011,5FRYD4H67FB221322,Fuscia,"€34285,67"
33,C8,2007,1G4CW54K644410476,Teal,"€25175,17"
34,Tacoma Xtra,2003,2C3CDZAT1FH615759,Puce,"€19365,42"
35,Wrangler,1997,2C4RDGDG7DR329141,Turquoise,"€29657,32"
